N° da fatura,Data da fatura,ID Cliente,País,Quantidade,Valor,Horario,DataBR
C554140,2021-05-23 10:34:00,13004.0,United Kingdom,-4,-15.8,10:34:00,23/05/2021
C558736,2021-07-01 15:14:00,18075.0,United Kingdom,-4,-18.28,15:14:00,01/07/2021
C566963,2021-09-15 17:09:00,17573.0,United Kingdom,-6,-17.7,17:09:00,15/09/2021
552215,2021-05-06 15:12:00,,United Kingdom,-41,0.0,15:12:00,06/05/2021
549149,2021-04-06 15:31:00,,United Kingdom,-43,0.0,15:31:00,06/04/2021
C541284,2021-01-17 12:45:00,17744.0,United Kingdom,-36,-31.32,12:45:00,17/01/2021
C575142,2021-11-08 15:36:00,17183.0,United Kingdom,-30,-37.5,15:36:00,08/11/2021
C544442,2021-02-20 10:30:00,15465.0,United Kingdom,-3,-32.85,10:30:00,20/02/2021
C560220,2021-07-15 15:22:00,14572.0,United Kingdom,-1,-12.75,15:22:00,15/07/2021
C548647,2021-04-01 13:17:00,12888.0,United Kingdom,-3,-29.85,13:17:00,01/04/2021
C539838,2020-12-22 13:59:00,13458.0,United Kingdom,-10,-16.5,13:59:00,22/12/2020
C575385,2021-11-09 15:19:00,15916.0,United Kingdom,-3,-18.55,15:19:00,09/11/2021
C571023,2021-10-13 12:18:00,15239.0,United Kingdom,-3,-16.25,12:18:00,13/10/2021
C565229,2021-09-02 09:12:00,17450.0,United Kingdom,-1,-200.0,09:12:00,02/09/2021
C540118,2021-01-05 09:57:00,,United Kingdom,-1,-16453.71,09:57:00,05/01/2021
557599,2021-06-21 11:34:00,,United Kingdom,-1440,0.0,11:34:00,21/06/2021
537432,2020-12-06 16:10:00,,United Kingdom,-43,0.0,16:10:00,06/12/2020
554128,2021-05-23 09:26:00,,United Kingdom,-4,0.0,09:26:00,23/05/2021
C574318,2021-11-03 19:11:00,16729.0,United Kingdom,-7,-20.2,19:11:00,03/11/2021
C562709,2021-08-08 14:32:00,17511.0,United Kingdom,-11,-29.49,14:32:00,08/08/2021
572516,2021-10-24 14:45:00,,United Kingdom,-71,0.0,14:45:00,24/10/2021
561108,2021-07-25 11:43:00,,United Kingdom,-7,0.0,11:43:00,25/07/2021
C574010,2021-11-02 11:51:00,17841.0,United Kingdom,-3,-10.35,11:51:00,02/11/2021
C578039,2021-11-22 14:13:00,17338.0,United Kingdom,-1,-10.95,14:13:00,22/11/2021
C561682,2021-07-28 19:27:00,13631.0,United Kingdom,-7,-48.65,19:27:00,28/07/2021
C567359,2021-09-19 16:33:00,15201.0,United Kingdom,-14,-8.59,16:33:00,19/09/2021
568724,2021-09-28 16:27:00,,United Kingdom,-21,0.0,16:27:00,28/09/2021
C555729,2021-06-06 16:50:00,13552.0,United Kingdom,-14,-129.29,16:50:00,06/06/2021
C565597,2021-09-05 14:29:00,12709.0,Germany,-5,-19.03,14:29:00,05/09/2021
C540852,2021-01-12 09:48:00,15197.0,United Kingdom,-12,-419.4,09:48:00,12/01/2021
C538692,2020-12-14 09:58:00,13599.0,United Kingdom,-2,-7.24,09:58:00,14/12/2020
C542402,2021-01-27 16:05:00,16124.0,United Kingdom,-7,-61.85,16:05:00,27/01/2021
C566472,2021-09-12 18:19:00,16187.0,United Kingdom,-8,-39.6,18:19:00,12/09/2021
C562577,2021-08-07 13:09:00,15518.0,United Kingdom,-1,-1.65,13:09:00,07/08/2021
C557879,2021-06-23 13:15:00,14911.0,EIRE,-1,-4.25,13:15:00,23/06/2021
549264,2021-04-07 12:45:00,,United Kingdom,-21,0.0,12:45:00,07/04/2021
545598,2021-03-04 11:16:00,,United Kingdom,-278,0.0,11:16:00,04/03/2021
C543743,2021-02-11 13:39:00,12505.0,Italy,-1,-4.5,13:39:00,11/02/2021
C546191,2021-03-10 10:57:00,16422.0,United Kingdom,-35,-24.5,10:57:00,10/03/2021
C577131,2021-11-17 20:01:00,15861.0,United Kingdom,-1,-165.0,20:01:00,17/11/2021
C570331,2021-10-10 12:18:00,14606.0,United Kingdom,-1,-0.39,12:18:00,10/10/2021
C565284,2021-09-02 11:31:00,12471.0,Germany,-13,-84.72,11:31:00,02/09/2021
567918,2021-09-22 17:20:00,,United Kingdom,-1,0.0,17:20:00,22/09/2021
C538531,2020-12-13 10:31:00,13715.0,United Kingdom,-2,-7.5,10:31:00,13/12/2020
C561684,2021-07-28 19:36:00,13136.0,United Kingdom,-2,-16.5,19:36:00,28/07/2021
C546217,2021-03-10 12:04:00,14057.0,United Kingdom,-168,-70.56,12:04:00,10/03/2021
576368,2021-11-14 18:33:00,,United Kingdom,-864,0.0,18:33:00,14/11/2021
572534,2021-10-24 16:07:00,,United Kingdom,-2,0.0,16:07:00,24/10/2021
C558202,2021-06-27 13:24:00,17841.0,United Kingdom,-3,-7.45,13:24:00,27/06/2021
C543643,2021-02-10 17:44:00,16161.0,United Kingdom,-12,-28.75,17:44:00,10/02/2021
C577364,2021-11-18 16:18:00,14140.0,United Kingdom,-2,-15.0,16:18:00,18/11/2021
C554519,2021-05-24 16:59:00,13549.0,United Kingdom,-1,-2.08,16:59:00,24/05/2021
C546204,2021-03-10 11:13:00,13599.0,United Kingdom,-25,-11.8,11:13:00,10/03/2021
C546416,2021-03-13 10:48:00,14800.0,United Kingdom,-8,-10.5,10:48:00,13/03/2021
576185,2021-11-14 11:25:00,,United Kingdom,-130,0.0,11:25:00,14/11/2021
C562796,2021-08-09 14:27:00,13694.0,United Kingdom,-1,-64.0,14:27:00,09/08/2021
C549968,2021-04-13 14:24:00,14064.0,United Kingdom,-432,-155.52,14:24:00,13/04/2021
C578274,2021-11-23 13:42:00,17828.0,Malta,-8,-30.81,13:42:00,23/11/2021
556314,2021-06-10 10:47:00,,United Kingdom,-84,0.0,10:47:00,10/06/2021
C577390,2021-11-18 17:01:00,18276.0,United Kingdom,-1,-6.25,17:01:00,18/11/2021
C576397,2021-11-15 10:48:00,13081.0,United Kingdom,-3,-29.85,10:48:00,15/11/2021
543194,2021-02-04 12:25:00,,United Kingdom,-217,0.0,12:25:00,04/02/2021
C550172,2021-04-14 16:54:00,17440.0,United Kingdom,-3,-1.17,16:54:00,14/04/2021
580561,2021-12-05 10:25:00,,United Kingdom,-9,0.0,10:25:00,05/12/2021
572477,2021-10-24 13:39:00,,United Kingdom,-15,0.0,13:39:00,24/10/2021
C549533,2021-04-08 17:08:00,12408.0,Belgium,-3,-14.85,17:08:00,08/04/2021
575048,2021-11-08 12:12:00,,United Kingdom,-15,0.0,12:12:00,08/11/2021
C560589,2021-07-19 15:50:00,15249.0,United Kingdom,-17,-22.65,15:50:00,19/07/2021
560600,2021-07-19 17:04:00,,United Kingdom,-2834,0.0,17:04:00,19/07/2021
C579739,2021-11-30 14:28:00,16956.0,United Kingdom,-2,-16.4,14:28:00,30/11/2021
C569320,2021-10-03 12:19:00,15301.0,United Kingdom,-4,-34.9,12:19:00,03/10/2021
565389,2021-09-02 16:19:00,,United Kingdom,-16,0.0,16:19:00,02/09/2021
C573253,2021-10-28 12:14:00,17552.0,United Kingdom,-1,-3.95,12:14:00,28/10/2021
C577369,2021-11-18 16:20:00,14132.0,United Kingdom,-2,-5.9,16:20:00,18/11/2021
C557505,2021-06-20 16:05:00,17490.0,United Kingdom,-5,-18.75,16:05:00,20/06/2021
C564900,2021-08-31 11:34:00,12948.0,United Kingdom,-3,-11.25,11:34:00,31/08/2021
C546854,2021-03-17 13:55:00,17511.0,United Kingdom,-19,-30.13,13:55:00,17/03/2021
C566779,2021-09-15 10:03:00,13931.0,United Kingdom,-4,-6.6,10:03:00,15/09/2021
581190,2021-12-07 16:55:00,,United Kingdom,-102,0.0,16:55:00,07/12/2021
C576235,2021-11-14 13:28:00,17769.0,United Kingdom,-3,-12.45,13:28:00,14/11/2021
C580919,2021-12-06 14:07:00,16571.0,United Kingdom,-27,-98.51,14:07:00,06/12/2021
C575056,2021-11-08 12:24:00,17736.0,United Kingdom,-1,-39.95,12:24:00,08/11/2021
573482,2021-10-31 11:20:00,,United Kingdom,-54,0.0,11:20:00,31/10/2021
C558256,2021-06-27 17:08:00,13552.0,United Kingdom,-8,-19.5,17:08:00,27/06/2021
C537597,2020-12-07 12:34:00,15498.0,United Kingdom,-1,-281.0,12:34:00,07/12/2020
C572556,2021-10-24 17:26:00,17317.0,United Kingdom,-36,-38.16,17:26:00,24/10/2021
C539565,2020-12-20 11:56:00,14113.0,United Kingdom,-7,-25.25,11:56:00,20/12/2020
542396,2021-01-27 15:12:00,,United Kingdom,-4,0.0,15:12:00,27/01/2021
539995,2021-01-04 10:12:00,,United Kingdom,-12,0.0,10:12:00,04/01/2021
573752,2021-11-01 09:34:00,,United Kingdom,-90,0.0,09:34:00,01/11/2021
C579928,2021-12-01 09:29:00,14121.0,United Kingdom,-1,-25.0,09:29:00,01/12/2021
C538375,2020-12-12 11:19:00,17126.0,United Kingdom,-1,-9.95,11:19:00,12/12/2020
C576858,2021-11-16 15:52:00,17183.0,United Kingdom,-2,-22.9,15:52:00,16/11/2021
C578377,2021-11-24 11:44:00,14277.0,France,-360,-259.2,11:44:00,24/11/2021
549329,2021-04-08 10:49:00,,United Kingdom,-1,0.0,10:49:00,08/04/2021
549164,2021-04-06 17:20:00,,United Kingdom,-75,0.0,17:20:00,06/04/2021
C538726,2020-12-14 11:18:00,13078.0,United Kingdom,-1,-2.95,11:18:00,14/12/2020
C540380,2021-01-06 17:36:00,16094.0,United Kingdom,-12,-24.7,17:36:00,06/01/2021
C571750,2021-10-19 11:16:00,12744.0,Singapore,-2,-6068.06,11:16:00,19/10/2021
C541688,2021-01-20 16:15:00,12683.0,France,-4,-43.8,16:15:00,20/01/2021
C571543,2021-10-17 16:53:00,17677.0,United Kingdom,-6,-24.9,16:53:00,17/10/2021
C537820,2020-12-08 14:10:00,16016.0,United Kingdom,-1,-8.5,14:10:00,08/12/2020
C548469,2021-03-31 12:32:00,14543.0,United Kingdom,-30,-283.21,12:32:00,31/03/2021
554678,2021-05-25 16:03:00,,United Kingdom,-30,0.0,16:03:00,25/05/2021
C559498,2021-07-08 14:06:00,15078.0,United Kingdom,-4,-14.06,14:06:00,08/07/2021
C566758,2021-09-14 16:05:00,14292.0,United Kingdom,-4,-13.0,16:05:00,14/09/2021
C554361,2021-05-24 10:15:00,17811.0,United Kingdom,-1,-4.95,10:15:00,24/05/2021
C572473,2021-10-24 13:34:00,18188.0,United Kingdom,-1,-2.55,13:34:00,24/10/2021
C566185,2021-09-09 13:02:00,18167.0,United Kingdom,-4,-13.15,13:02:00,09/09/2021
544410,2021-02-18 13:54:00,,United Kingdom,-741,0.0,13:54:00,18/02/2021
C546975,2021-03-18 12:08:00,,United Kingdom,-1,-19.05,12:08:00,18/03/2021
561480,2021-07-27 13:32:00,,United Kingdom,-12,0.0,13:32:00,27/07/2021
C550534,2021-04-19 11:08:00,14326.0,United Kingdom,-4,-17.0,11:08:00,19/04/2021
C568689,2021-09-28 14:42:00,17841.0,United Kingdom,-10,-15.35,14:42:00,28/09/2021
C536757,2020-12-02 14:23:00,15838.0,United Kingdom,-9360,-280.8,14:23:00,02/12/2020
C571319,2021-10-17 10:50:00,17164.0,United Kingdom,-1,-0.95,10:50:00,17/10/2021
C539499,2020-12-20 11:01:00,15312.0,United Kingdom,-3,-3.75,11:01:00,20/12/2020
C553502,2021-05-17 13:03:00,17677.0,United Kingdom,-5,-18.75,13:03:00,17/05/2021
C566165,2021-09-09 11:57:00,14911.0,EIRE,-11,-75.85,11:57:00,09/09/2021
C579532,2021-11-30 09:21:00,12494.0,France,-5,-57.8,09:21:00,30/11/2021
546142,2021-03-09 16:37:00,,United Kingdom,-1100,0.0,16:37:00,09/03/2021
576410,2021-11-15 11:20:00,,United Kingdom,-16,0.0,11:20:00,15/11/2021
C552936,2021-05-12 11:29:00,13113.0,United Kingdom,-6,-51.0,11:29:00,12/05/2021
C568532,2021-09-27 13:54:00,14356.0,United Kingdom,-7,-18.99,13:54:00,27/09/2021
C572531,2021-10-24 15:57:00,13269.0,United Kingdom,-2,-1.66,15:57:00,24/10/2021
549456,2021-04-08 14:19:00,,United Kingdom,-6,0.0,14:19:00,08/04/2021
C561613,2021-07-28 12:46:00,14194.0,United Kingdom,-6,-28.2,12:46:00,28/07/2021
C569992,2021-10-06 20:18:00,16133.0,United Kingdom,-48,-79.2,20:18:00,06/10/2021
C569485,2021-10-04 12:47:00,12705.0,Germany,-3,-7.05,12:47:00,04/10/2021
C556457,2021-06-10 16:50:00,15856.0,United Kingdom,-7,-49.35,16:50:00,10/06/2021
C545689,2021-03-06 12:43:00,16033.0,United Kingdom,-2,-5.64,12:43:00,06/03/2021
C540030,2021-01-04 13:47:00,16029.0,United Kingdom,-24,-90.0,13:47:00,04/01/2021
C565323,2021-09-02 13:16:00,14606.0,United Kingdom,-3,-12.65,13:16:00,02/09/2021
C564490,2021-08-25 14:14:00,13266.0,United Kingdom,-3,-2.73,14:14:00,25/08/2021
561086,2021-07-25 09:32:00,,United Kingdom,-530,0.0,09:32:00,25/07/2021
558741,2021-07-01 15:52:00,,United Kingdom,-1,0.0,15:52:00,01/07/2021
548662,2021-04-01 14:31:00,,United Kingdom,-180,0.0,14:31:00,01/04/2021
551323,2021-04-27 15:31:00,,United Kingdom,-9,0.0,15:31:00,27/04/2021
567933,2021-09-22 17:49:00,,United Kingdom,-30,0.0,17:49:00,22/09/2021
542580,2021-01-28 14:58:00,,United Kingdom,-1,0.0,14:58:00,28/01/2021
561501,2021-07-27 14:13:00,,United Kingdom,-1,0.0,14:13:00,27/07/2021
C550536,2021-04-19 11:20:00,16325.0,United Kingdom,-18,-53.1,11:20:00,19/04/2021
C549535,2021-04-08 17:14:00,14110.0,United Kingdom,-2,-13.5,17:14:00,08/04/2021
552228,2021-05-06 15:29:00,,United Kingdom,-93,0.0,15:29:00,06/05/2021
C546256,2021-03-10 14:56:00,15738.0,United Kingdom,-6,-7.5,14:56:00,10/03/2021
579734,2021-11-30 14:25:00,,United Kingdom,-153,0.0,14:25:00,30/11/2021
577307,2021-11-18 13:06:00,,United Kingdom,-313,0.0,13:06:00,18/11/2021
C548713,2021-04-03 14:53:00,17337.0,United Kingdom,-16,-39.2,14:53:00,03/04/2021
C557022,2021-06-16 12:56:00,16942.0,United Kingdom,-4,-26.48,12:56:00,16/06/2021
C564209,2021-08-24 09:07:00,14189.0,United Kingdom,-2,-6.37,09:07:00,24/08/2021
C543637,2021-02-10 16:35:00,15738.0,United Kingdom,-8,-13.2,16:35:00,10/02/2021
554312,2021-05-23 15:28:00,,United Kingdom,-2,0.0,15:28:00,23/05/2021
C564212,2021-08-24 09:13:00,13209.0,United Kingdom,-5,-16.15,09:13:00,24/08/2021
542547,2021-01-28 14:45:00,,United Kingdom,-1,0.0,14:45:00,28/01/2021
C539055,2020-12-15 16:36:00,13829.0,United Kingdom,-12,-102.0,16:36:00,15/12/2020
557025,2021-06-16 13:09:00,,United Kingdom,-9,0.0,13:09:00,16/06/2021
C563224,2021-08-14 14:33:00,12409.0,Switzerland,-1,-4.95,14:33:00,14/08/2021
555824,2021-06-07 12:06:00,,United Kingdom,-12,0.0,12:06:00,07/06/2021
549134,2021-04-06 15:22:00,,United Kingdom,-54,0.0,15:22:00,06/04/2021
C571814,2021-10-19 11:45:00,14477.0,United Kingdom,-1,-1.79,11:45:00,19/10/2021
C556966,2021-06-16 09:55:00,13523.0,United Kingdom,-7,-209.5,09:55:00,16/06/2021
C550355,2021-04-18 10:29:00,13811.0,Germany,-1,-222.75,10:29:00,18/04/2021
C573037,2021-10-27 13:45:00,12471.0,Germany,-41,-176.43,13:45:00,27/10/2021
562548,2021-08-05 16:00:00,,United Kingdom,-84,0.0,16:00:00,05/08/2021
C570845,2021-10-12 14:29:00,17017.0,United Kingdom,-13,-15.22,14:29:00,12/10/2021
549035,2021-04-05 17:09:00,,United Kingdom,-15,0.0,17:09:00,05/04/2021
551574,2021-05-03 11:16:00,,United Kingdom,-6,0.0,11:16:00,03/05/2021
C554333,2021-05-23 17:15:00,13310.0,United Kingdom,-5,-10.55,17:15:00,23/05/2021
C566942,2021-09-15 16:16:00,17139.0,United Kingdom,-15,-54.1,16:16:00,15/09/2021
C574500,2021-11-04 13:14:00,15598.0,United Kingdom,-2,-2.5,13:14:00,04/11/2021
C555409,2021-06-03 09:18:00,13854.0,United Kingdom,-7,-17.85,09:18:00,03/06/2021
537028,2020-12-03 16:36:00,,United Kingdom,-320,0.0,16:36:00,03/12/2020
555838,2021-06-07 12:37:00,,United Kingdom,-6,0.0,12:37:00,07/06/2021
549268,2021-04-07 12:47:00,,United Kingdom,-7,0.0,12:47:00,07/04/2021
C543755,2021-02-11 14:48:00,14304.0,United Kingdom,-85,-186.35,14:48:00,11/02/2021
C556281,2021-06-09 20:32:00,14040.0,United Kingdom,-1,-4.05,20:32:00,09/06/2021
566068,2021-09-08 16:37:00,,United Kingdom,-86,0.0,16:37:00,08/09/2021
C555362,2021-06-02 14:15:00,15785.0,United Kingdom,-1,-0.83,14:15:00,02/06/2021
C545678,2021-03-06 10:49:00,16678.0,United Kingdom,-2,-2.5,10:49:00,06/03/2021
557600,2021-06-21 11:35:00,,United Kingdom,-1440,0.0,11:35:00,21/06/2021
C554203,2021-05-23 12:14:00,14573.0,United Kingdom,-1,-1.95,12:14:00,23/05/2021
545599,2021-03-04 11:17:00,,United Kingdom,-140,0.0,11:17:00,04/03/2021
C557665,2021-06-21 18:02:00,13384.0,United Kingdom,-2,-10.9,18:02:00,21/06/2021
551586,2021-05-03 11:24:00,,United Kingdom,-6,0.0,11:24:00,03/05/2021
C546170,2021-03-10 10:29:00,15034.0,United Kingdom,-5,-9.25,10:29:00,10/03/2021
C557637,2021-06-21 16:00:00,13630.0,United Kingdom,-4,-7.7,16:00:00,21/06/2021
C572102,2021-10-20 15:56:00,13519.0,United Kingdom,-1,-11.95,15:56:00,20/10/2021
551453,2021-04-28 16:01:00,,United Kingdom,-3,0.0,16:01:00,28/04/2021
C547168,2021-03-21 12:10:00,13593.0,United Kingdom,-24,-46.8,12:10:00,21/03/2021
C575653,2021-11-10 14:28:00,13988.0,United Kingdom,-6,-17.31,14:28:00,10/11/2021
C539575,2020-12-20 12:23:00,13089.0,United Kingdom,-48,-85.2,12:23:00,20/12/2020
579755,2021-11-30 14:54:00,,United Kingdom,-14,0.0,14:54:00,30/11/2021
571113,2021-10-13 17:37:00,,United Kingdom,-19,0.0,17:37:00,13/10/2021
C559568,2021-07-11 11:09:00,13627.0,United Kingdom,-1,-12.75,11:09:00,11/07/2021
C546880,2021-03-17 17:16:00,13093.0,United Kingdom,-1,-12.75,17:16:00,17/03/2021
C556880,2021-06-15 12:12:00,18073.0,United Kingdom,-10,-13.08,12:12:00,15/06/2021
C579970,2021-12-01 11:13:00,14388.0,United Kingdom,-5,-27.35,11:13:00,01/12/2021
C552237,2021-05-06 16:44:00,14056.0,United Kingdom,-3,-7.95,16:44:00,06/05/2021
C566742,2021-09-14 14:56:00,17422.0,United Kingdom,-6,-22.08,14:56:00,14/09/2021
C538123,2020-12-09 15:41:00,12605.0,Germany,-4,-7.5,15:41:00,09/12/2020
C578363,2021-11-24 10:40:00,15482.0,United Kingdom,-948,-2210.64,10:40:00,24/11/2021
C573092,2021-10-27 14:38:00,13791.0,United Kingdom,-372,-468.32,14:38:00,27/10/2021
542567,2021-01-28 14:53:00,,United Kingdom,-1,0.0,14:53:00,28/01/2021
C538704,2020-12-14 10:31:00,14206.0,United Kingdom,-2,-19.9,10:31:00,14/12/2020
C574865,2021-11-07 12:30:00,12408.0,Belgium,-1,-15.0,12:30:00,07/11/2021
C571634,2021-10-18 11:34:00,16029.0,United Kingdom,-1,-79.2,11:34:00,18/10/2021
C546903,2021-03-17 18:31:00,16217.0,United Kingdom,-14,-37.8,18:31:00,17/03/2021
C546783,2021-03-17 09:32:00,12924.0,United Kingdom,-1,-3.75,09:32:00,17/03/2021
C564362,2021-08-24 16:20:00,13148.0,United Kingdom,-6,-40.95,16:20:00,24/08/2021
563244,2021-08-15 10:49:00,,United Kingdom,-36,0.0,10:49:00,15/08/2021
554681,2021-05-25 16:04:00,,United Kingdom,-32,0.0,16:04:00,25/05/2021
C551512,2021-04-28 19:51:00,14032.0,United Kingdom,-12,-24.96,19:51:00,28/04/2021
C543835,2021-02-14 10:40:00,12963.0,United Kingdom,-8,-15.6,10:40:00,14/02/2021
568406,2021-09-27 10:37:00,,United Kingdom,-67,0.0,10:37:00,27/09/2021
C561104,2021-07-25 11:36:00,12576.0,Poland,-3,-8.85,11:36:00,25/07/2021
549332,2021-04-08 10:55:00,,United Kingdom,-2,0.0,10:55:00,08/04/2021
C560526,2021-07-19 11:57:00,16401.0,United Kingdom,-6,-6.18,11:57:00,19/07/2021
C570099,2021-10-07 12:11:00,13798.0,United Kingdom,-70,-110.1,12:11:00,07/10/2021
569831,2021-10-06 12:38:00,,United Kingdom,-800,0.0,12:38:00,06/10/2021
C559461,2021-07-08 13:04:00,14680.0,United Kingdom,-22,-41.77,13:04:00,08/07/2021
C569109,2021-09-30 12:44:00,16523.0,United Kingdom,-3,-4.95,12:44:00,30/09/2021
C567136,2021-09-16 14:27:00,,United Kingdom,-1,-366.27,14:27:00,16/09/2021
551430,2021-04-28 15:06:00,,United Kingdom,-3,0.0,15:06:00,28/04/2021
C555006,2021-05-31 09:51:00,13694.0,United Kingdom,-144,-208.8,09:51:00,31/05/2021
C539600,2020-12-20 13:57:00,13329.0,United Kingdom,-12,-35.4,13:57:00,20/12/2020
C564655,2021-08-26 14:35:00,13159.0,United Kingdom,-14,-58.1,14:35:00,26/08/2021
C555532,2021-06-05 12:01:00,15722.0,United Kingdom,-5,-41.35,12:01:00,05/06/2021
C552705,2021-05-10 16:06:00,15620.0,United Kingdom,-1,-5.95,16:06:00,10/05/2021
C546209,2021-03-10 11:31:00,15596.0,United Kingdom,-8,-26.5,11:31:00,10/03/2021
C566036,2021-09-08 13:21:00,17811.0,United Kingdom,-1,-3.75,13:21:00,08/09/2021
C559908,2021-07-13 13:56:00,14088.0,United Kingdom,-72,-76.32,13:56:00,13/07/2021
C544580,2021-02-21 14:25:00,,United Kingdom,-16,-188.67,14:25:00,21/02/2021
C553027,2021-05-12 19:38:00,13741.0,United Kingdom,-1,-2.1,19:38:00,12/05/2021
C577737,2021-11-21 13:25:00,15681.0,United Kingdom,-260,-479.8,13:25:00,21/11/2021
C550648,2021-04-19 16:36:00,13134.0,United Kingdom,-3,-6.25,16:36:00,19/04/2021
C539661,2020-12-21 10:16:00,12971.0,United Kingdom,-48,-36.0,10:16:00,21/12/2020
C560558,2021-07-19 13:22:00,12921.0,United Kingdom,-2,-3.3,13:22:00,19/07/2021
C536622,2020-12-02 10:37:00,12471.0,Germany,-2,-17.0,10:37:00,02/12/2020
C581148,2021-12-07 14:02:00,12462.0,Spain,-18,-44.78,14:02:00,07/12/2021
549529,2021-04-08 16:56:00,,United Kingdom,-576,0.0,16:56:00,08/04/2021
C580711,2021-12-05 16:36:00,16057.0,United Kingdom,-4,-37.6,16:36:00,05/12/2021
C549438,2021-04-08 12:39:00,12471.0,Germany,-3,-5.41,12:39:00,08/04/2021
540684,2021-01-10 17:01:00,,United Kingdom,-13,0.0,17:01:00,10/01/2021
556233,2021-06-09 15:20:00,,United Kingdom,-272,0.0,15:20:00,09/06/2021
